**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  |  |  |  |  |  |  |  |  | pg. 6
 |  |  |  |  |  | 59 | 01:03:48:12 |  | 01:03:49:20 |  | 01:08 | WALKER:
 |  |  |  | WALKER: |  |  |  |  |  |  |  | Welcome to the UBC family,
 |  |  |  | Welcome | to the UBC family, Jack- |  |  |  |  |  |  | Jack-
 |  |  |  | REPORTER: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 60 | 01:03:49:22 |  | 01:03:52:07 |  | 02:09 | REPORTER:
 |  |  |  | What | did you have to sacrifice |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | What did you have to sacrifice
 |  |  |  | to get | here tonight. |  |  |  |  |  |  | to get here tonight.
78 | 01:03:51:20 |  |  | IMAGE | - JACK'S MAGAZINE | 61 | 01:03:52:09 |  | 01:03:54:04 |  | 01:19 | NARRATOR (VO):
 |  |  |  | COVER |  |  |  |  |  |  |  | With an Emmy nomination
 |  |  |  |  |  |  |  |  |  |  |  | to his name
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | With | an Emmy nomination |  |  |  |  |  |  | 
 |  |  |  | to his | name |  |  |  |  |  |  | 
79 | 01:03:53:23 |  |  | IMAGE | - JACK ON A MAGAZINE | 62 | 01:03:54:06 |  | 01:03:56:09 |  | 02:03 | and growing audience share,
 |  |  |  | COVER |  |  |  |  |  |  |  | 
 |  |  |  | and growing | audience share, |  |  |  |  |  |  | 
80 | 01:03:56:02 |  |  | IMAGE | - NEWS ARCHIVE OF | 63 | 01:03:56:11 |  | 01:03:59:16 |  | 03:05 | Jack's sights are set on the
 |  |  |  | JACK'S | SHOW |  |  |  |  |  |  | coveted late night crown.
 |  |  |  | Jack's | sights are set on the |  |  |  |  |  |  | 
 |  |  |  | coveted | late night crown. |  |  |  |  |  |  | 
81 | 01:03:58:05 |  |  | IMAGE | - JACK ON A COVER OF |  |  |  |  |  |  | 
 |  |  |  | VARIETY | MAGAZINE |  |  |  |  |  |  | 
82 | 01:04:01:20 |  |  | IMAGE | - MADELEINE PICTURES | 64 | 01:04:02:11 |  | 01:04:05:09 |  | 02:22 | By Jack's side through
 |  |  |  |  |  |  |  |  |  |  |  | everything is his wife,
 |  |  |  | By Jack's | side through |  |  |  |  |  |  | 
 |  |  |  | everything | is his wife, |  |  |  |  |  |  | 
83 | 01:04:04:11 |  |  | IMAGE | - MADELEINE'S PICTURE | 65 | 01:04:05:11 |  | 01:04:08:20 |  | 03:09 | the beloved stage
 |  |  |  | ON A | MAGAZINE COVER |  |  |  |  |  |  | actress, Madeleine Piper.
 |  |  |  | the beloved | stage |  |  |  |  |  |  | 
 |  |  |  | actress, | Madeleine Piper. |  |  |  |  |  |  | 
84 | 01:04:07:18 |  |  | IMAGE | - MADELEINE WITH JACK |  |  |  |  |  |  | 
